Rank,Release Group,Worldwide,Domestic,%,Foreign,%
168,Mary Had a Little Lamb,"$24,206",-,-,"$24,206",100%
169,Household Saints 2024 Re-release,"$23,298","$23,298",100%,-,-
170,InadIyla Sampiyon,"$22,708",-,-,"$22,708",100%
171,Great Pretender: Razbliuto,"$22,624","$22,624",100%,-,-
172,Inshallah a Boy,"$22,473","$21,164",94.2%,"$1,309",5.8%
173,"Mother, May I?","$21,608",-,-,"$21,608",100%
174,Aattam,"$21,447",-,-,"$21,447",100%
175,Sterkijada,"$21,102",-,-,"$21,102",100%
176,Riki Rhino: The Bird Kingdom,"$20,303",-,-,"$20,303",100%
177,I Won't Die,"$19,406",-,-,"$19,406",100%
178,The 100 Candles Game: The Last Possession,"$19,292",-,-,"$19,292",100%
179,Sunrise,"$19,139",-,-,"$19,139",100%
180,Maksoum,"$18,974",-,-,"$18,974",100%
181,Ada,"$18,853",-,-,"$18,853",100%
182,Mini World: Powers Awaken,"$18,797",-,-,"$18,797",100%
183,L'home dels nassos,"$16,667",-,-,"$16,667",100%
184,UN AMANTE DE INFARTO,"$15,741",-,-,"$15,741",100%
185,Bad Connection,"$14,771",-,-,"$14,771",100%
186,Avram Iancu Împotriva imperiului,"$14,614",-,-,"$14,614",100%
187,American Star,"$14,523","$14,523",100%,-,-
188,Cult Killer,"$13,921",-,-,"$13,921",100%
189,Vadakkupatti Ramasamy,"$13,833",-,-,"$13,833",100%
190,Pasang: In the Shadow of Everest,"$11,843","$11,843",100%,-,-
191,Canigó 1883,"$11,367",-,-,"$11,367",100%
192,The Pianist 2024 Re-release,"$11,184","$11,184",100%,-,-
193,Só Nós Dois,"$10,924",-,-,"$10,924",100%
194,Nayab,"$10,668",-,-,"$10,668",100%
195,Inheritance to Love,"$10,479","$10,479",100%,-,-
196,Blue Star,"$9,890",-,-,"$9,890",100%
197,El Verano Pasado,"$9,866",-,-,"$9,866",100%
198,Bushman 2024 Re-release,"$9,665","$9,665",100%,-,-
199,Days of Heaven 2024 Re-release,"$9,562",-,-,"$9,562",100%
200,The Storm,"$9,527",-,-,"$9,527",100%
